,District,Crop,Season,Stage,Attribute,Govt_Sowing_Window,Govt_Harvest_Window,Recommended_Task_Window,Optimum_Range,Slightly_Low_Range,Slightly_Low_Risk,Slightly_Low_Action,Very_Low_Range,Very_Low_Risk,Very_Low_Action,Slightly_High_Range,Slightly_High_Risk,Slightly_High_Action,Very_High_Range,Very_High_Risk,Very_High_Action,Reference_Source,Stage_Cost_INR_per_acre,Cumulative_Cost_INR_per_acre,Min_Value,Max_Value,Unit
1,Bagalkot,Bajra,Kharif,Germination & Establishment,Temperature,1 Jun – 1 Jul,23 Sep – 23 Oct,1 Jun – 22 Jun,20-30 °C,18–20 °C,Slow germination,Ensure soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICAR, FAO",1500,1500,20,30,°C
1,Bagalkot,Bajra,Kharif,Germination & Establishment,Soil Nitrogen,1 Jun – 1 Jul,23 Sep – 23 Oct,1 Jun – 22 Jun,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,1500,100,150,kg/ha
1,Bagalkot,Bajra,Kharif,Germination & Establishment,Soil Phosphorus,1 Jun – 1 Jul,23 Sep – 23 Oct,1 Jun – 22 Jun,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,1500,50,75,kg/ha
1,Bagalkot,Bajra,Kharif,Germination & Establishment,Soil Potassium,1 Jun – 1 Jul,23 Sep – 23 Oct,1 Jun – 22 Jun,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,1500,40,60,kg/ha
2,Bagalkot,Bajra,Kharif,Germination & Establishment,Rainfall,1 Jun – 1 Jul,23 Sep – 23 Oct,1 Jun – 22 Jun,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1500,1500,20,40,mm/week
3,Bagalkot,Bajra,Kharif,Germination & Establishment,Humidity,1 Jun – 1 Jul,23 Sep – 23 Oct,1 Jun – 22 Jun,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1500,1500,60,80,
4,Bagalkot,Bajra,Kharif,Vegetative Growth,Temperature,1 Jun – 1 Jul,23 Sep – 23 Oct,23 Jun – 5 Aug,22-32 °C,20–22 °C,Slow growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf rolling,Mulching,>35 °C,Heat stress,Light irrigation,ICAR,2000,3500,22,32,°C
5,Bagalkot,Bajra,Kharif,Vegetative Growth,Rainfall,1 Jun – 1 Jul,23 Sep – 23 Oct,23 Jun – 5 Aug,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2000,3500,30,60,mm/week
6,Bagalkot,Bajra,Kharif,Vegetative Growth,Humidity,1 Jun – 1 Jul,23 Sep – 23 Oct,23 Jun – 5 Aug,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2000,3500,60,80,
7,Bagalkot,Bajra,Kharif,Flowering & Grain Formation,Temperature,1 Jun – 1 Jul,23 Sep – 23 Oct,6 Aug – 11 Sep,21-30 °C,18–21 °C,Delayed flowering,Maintain moisture,<18 °C,Poor grain set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,ICAR,1800,5300,21,30,°C
